Generator,carrier,bus,p_nom_min,p_nom,p_nom_extendable,efficiency,marginal_cost,capital_cost,build_year,lifetime,p_nom_max,p_max_pu,weight,grid_connection_cost,turbine_cost,control,type,p_min_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt
C0,nuclear,4723,1336.0,1336.0,False,0.33,11.378787878787879,706772.616768959,1988,34.0,inf,0.88,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C1,nuclear,4931,1320.0,1320.0,False,0.33,11.378787878787879,706772.616768959,1989,33.0,inf,0.88,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C2,nuclear,3381,1410.0,1410.0,False,0.33,11.378787878787879,706772.616768959,1988,34.0,inf,0.88,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C3,CCGT,4734,1948.0,1948.0,False,0.3925065573770491,55.4093355441488,99027.72929315244,1973,51.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C4,coal,4931,246.15716740236755,246.15716740236755,False,0.3306,28.152147610405326,349976.5536298572,1964,62.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C5,CCGT,4763,424.0,424.0,False,0.5715,39.37060367454069,99027.72929315244,2007,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C6,CCGT,4741,850.0,850.0,False,0.576,39.09583333333334,99027.72929315244,2008,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C7,CCGT,3372,1822.0,1822.0,False,0.5867942430703624,38.45391478762312,99027.72929315244,2010,41.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C8,CCGT,4567,164.0,164.0,False,0.4037,53.989447609611105,99027.72929315244,1981,76.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C9,lignite,4554,903.697079209118,903.697079209118,False,0.3904,10.928278688524589,349976.5536298572,1996,38.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C10,coal,4910,509.83113697943537,509.83113697943537,False,0.3597,26.157770364192384,349976.5536298572,1965,57.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C11,coal,4896,282.1127087083313,282.1127087083313,False,0.3858196078431373,24.623861603512765,349976.5536298572,1985,37.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C12,lignite,4627,2380.965161753003,2380.965161753003,False,0.4016168108776267,10.720813276373619,349976.5536298572,1979,59.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C13,lignite,4620,2960.069004348234,2960.069004348234,False,0.384,11.052083333333332,349976.5536298572,1981,47.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C14,lignite,4559,1722.5572897577886,1722.5572897577886,False,0.3988,10.771815446339017,349976.5536298572,1999,36.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C15,lignite,4706,4079.546814715448,4079.546814715448,False,0.3379982783357245,12.079925360209998,349976.5536298572,1972,66.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C16,lignite,4714,3094.7014263528577,3094.7014263528577,False,0.3826616559013506,11.078496447910668,349976.5536298572,1963,75.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C17,lignite,4626,1475.423802790397,1475.423802790397,False,0.394,10.860406091370557,349976.5536298572,1997,41.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C18,lignite,4690,1805.5498786647483,1805.5498786647483,False,0.3321170831208567,12.231860381131602,349976.5536298572,1955,74.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C19,CCGT,5706,144.0,144.0,False,0.4059,53.719586104951965,99027.72929315244,2019,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C20,CCGT,7023,1210.0,1210.0,False,0.5809390243902439,38.799156118143465,99027.72929315244,2007,46.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C21,CCGT,4851,785.0,785.0,False,0.4929641185647425,44.97375866324885,99027.72929315244,1976,64.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C22,CCGT,4918,856.0,856.0,False,0.5449516069788798,41.084009043355294,99027.72929315244,1992,53.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C23,CCGT,4579,260.0,260.0,False,0.5175,43.04057971014494,99027.72929315244,1995,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C24,CCGT,4712,562.0,562.0,False,0.54,41.422222222222224,99027.72929315244,2000,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C30,CCGT,5706,444.0,444.0,False,0.522,42.70574712643678,99027.72929315244,1996,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C31,CCGT,3397,120.0,120.0,False,0.5445,41.11460055096419,99027.72929315244,2001,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C32,CCGT,5868,626.0,626.0,False,0.612,37.043137254901964,99027.72929315244,2016,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C33,CCGT,4886,230.0,230.0,False,0.5985,37.78395989974938,99027.72929315244,1998,55.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C34,CCGT,5783,321.0,321.0,False,0.3956,55.00889787664308,99027.72929315244,1978,68.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C35,CCGT,4718,110.0,110.0,False,0.537668016194332,41.58366314267643,99027.72929315244,2004,46.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C36,CCGT,4718,866.0,866.0,False,0.4846417000801924,45.67393836864246,99027.72929315244,2005,51.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C37,CCGT,4559,167.0,167.0,False,0.585,38.55897435897437,99027.72929315244,1996,54.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C38,CCGT,4949,181.0,181.0,False,0.5625,39.93333333333334,99027.72929315244,2005,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C39,CCGT,3394,120.0,120.0,False,0.585,38.55897435897437,99027.72929315244,2010,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C40,CCGT,4835,125.0,125.0,False,0.5625,39.93333333333334,99027.72929315244,2005,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C41,coal,4889,71.9110826119276,71.9110826119276,False,0.5476595744680851,18.381507381507383,349976.5536298572,1984,71.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C42,lignite,4882,35.04131531627193,35.04131531627193,False,0.3736,11.262312633832977,349976.5536298572,1988,46.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C43,coal,3740,27.65810869689523,27.65810869689523,False,0.45,21.61111111111111,349976.5536298572,1990,32.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C44,CCGT,4860,353.0,353.0,False,0.531,42.05310734463277,99027.72929315244,1998,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C45,coal,4704,600.0,600.0,False,0.33,28.196969696969695,349976.5536298572,1976,80.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C47,nuclear,4923,1402.0,1402.0,False,0.33,11.378787878787879,706772.616768959,1980,50.0,inf,0.88,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
