utc_timestamp,NL1 0,NL1 1,NL1 2,NL1 3,NL1 4,NL1 5
2013-01-01 00:00:00,8070,4374,3203,6770,1109,7277
2013-01-01 01:00:00,7778,4290,3079,6504,1089,7057
2013-01-01 02:00:00,7598,4245,3020,6374,1078,6961
2013-01-01 03:00:00,7507,4225,2997,6327,1074,6922
2013-01-01 04:00:00,7499,4226,3006,6353,1075,6948
2013-01-01 05:00:00,7507,4238,3033,6432,1077,7025
2013-01-01 06:00:00,7393,4211,2994,6387,1069,6985
2013-01-01 07:00:00,7262,4191,2973,6192,1058,7055
2013-01-01 08:00:00,7253,4203,2946,6107,1060,6986
2013-01-01 09:00:00,7163,4172,2884,5958,1050,6867
2013-01-01 10:00:00,7319,4193,2934,6058,1054,6977
2013-01-01 11:00:00,7466,4232,2989,6172,1064,7074
2013-01-01 12:00:00,7470,4242,2987,6157,1066,7068
2013-01-01 13:00:00,7551,4255,3024,6252,1070,7136
2013-01-01 14:00:00,7653,4289,3076,6367,1080,7220
2013-01-01 15:00:00,7810,4353,3160,6543,1098,7363
2013-01-01 16:00:00,8011,4395,3251,6766,1107,7552
2013-01-01 17:00:00,8734,4591,3557,7449,1157,8115
2013-01-01 18:00:00,9076,4699,3721,7769,1184,8423
2013-01-01 19:00:00,8934,4658,3656,7623,1173,8305
2013-01-01 20:00:00,8675,4582,3527,7320,1154,8060
2013-01-01 21:00:00,8322,4480,3367,6923,1129,7752
2013-01-01 22:00:00,8160,4430,3291,6727,1117,7597
2013-01-01 23:00:00,7987,4377,3201,6474,1106,7388
2013-01-02 00:00:00,8074,4451,3313,6502,1140,7472
2013-01-02 01:00:00,7694,4338,3137,6134,1110,7160
2013-01-02 02:00:00,7592,4316,3106,6051,1105,7103
2013-01-02 03:00:00,7623,4335,3136,6098,1112,7146
2013-01-02 04:00:00,7670,4360,3185,6173,1120,7239
2013-01-02 05:00:00,7740,4395,3247,6314,1130,7359
2013-01-02 06:00:00,7863,4432,3302,6425,1141,7486
2013-01-02 07:00:00,8335,4527,3455,6684,1173,7790
2013-01-02 08:00:00,9334,4755,3828,7292,1243,8481
2013-01-02 09:00:00,9545,4793,3886,7360,1252,8609
2013-01-02 10:00:00,9564,4791,3889,7300,1249,8653
2013-01-02 11:00:00,9601,4791,3905,7287,1247,8725
2013-01-02 12:00:00,9402,4740,3822,7170,1229,8582
2013-01-02 13:00:00,9477,4765,3867,7259,1237,8652
2013-01-02 14:00:00,9631,4835,3974,7428,1256,8846
2013-01-02 15:00:00,9625,4862,4029,7538,1262,8943
2013-01-02 16:00:00,9631,4896,4064,7699,1268,8989
2013-01-02 17:00:00,9858,4989,4194,8070,1284,9228
2013-01-02 18:00:00,9970,5057,4296,8248,1296,9451
2013-01-02 19:00:00,9754,4998,4201,8082,1278,9284
2013-01-02 20:00:00,9286,4848,3973,7623,1235,8893
2013-01-02 21:00:00,8832,4717,3754,7185,1199,8481
2013-01-02 22:00:00,8452,4579,3541,6897,1162,8043
2013-01-02 23:00:00,8122,4479,3364,6550,1137,7673
2013-01-03 00:00:00,7907,4411,3272,6367,1121,7470
2013-01-03 01:00:00,7426,4237,2996,5940,1068,7015
2013-01-03 02:00:00,7291,4199,2936,5863,1060,6884
2013-01-03 03:00:00,7362,4229,2983,5953,1068,6972
2013-01-03 04:00:00,7467,4257,3052,6082,1075,7130
2013-01-03 05:00:00,7554,4294,3118,6258,1085,7280
2013-01-03 06:00:00,7485,4280,3101,6278,1080,7287
2013-01-03 07:00:00,7602,4396,3282,6366,1130,7514
2013-01-03 08:00:00,7560,4274,3081,6229,1077,7309
2013-01-03 09:00:00,7910,4363,3220,6443,1100,7580
2013-01-03 10:00:00,8298,4483,3415,6714,1130,7984
2013-01-03 11:00:00,8407,4525,3473,6786,1140,8107
2013-01-03 12:00:00,8371,4516,3463,6769,1136,8100
2013-01-03 13:00:00,7531,3602,3467,6819,876,7650
2013-01-03 14:00:00,7354,3357,3467,6903,807,7528
2013-01-03 15:00:00,7435,3386,3518,7034,815,7622
2013-01-03 16:00:00,7567,3424,3575,7196,824,7732
2013-01-03 17:00:00,7840,3502,3685,7502,842,7927
2013-01-03 18:00:00,7868,3519,3712,7557,843,7991
2013-01-03 19:00:00,7746,3484,3652,7430,833,7876
2013-01-03 20:00:00,7851,3863,3543,7097,943,7854
2013-01-03 21:00:00,8329,4524,3428,6870,1135,7952
2013-01-03 22:00:00,8134,4460,3320,6685,1121,7696
2013-01-03 23:00:00,7913,4388,3203,6409,1105,7428
2013-01-04 00:00:00,7863,4376,3192,6358,1105,7363
2013-01-04 01:00:00,7510,4272,3028,6037,1080,7046
2013-01-04 02:00:00,7368,4237,2977,5943,1071,6955
2013-01-04 03:00:00,7383,4240,2984,5982,1072,6973
2013-01-04 04:00:00,7463,4269,3038,6113,1080,7084
2013-01-04 05:00:00,7506,4291,3085,6253,1086,7196
2013-01-04 06:00:00,7409,4273,3064,6249,1079,7201
2013-01-04 07:00:00,7114,4187,2923,5998,1055,6976
2013-01-04 08:00:00,7061,4161,2863,5848,1045,6872
2013-01-04 09:00:00,7352,4301,3069,6027,1096,7122
2013-01-04 10:00:00,7496,4325,3099,6105,1099,7194
2013-01-04 11:00:00,6419,3120,3033,6075,754,6527
2013-01-04 12:00:00,6415,3108,3009,6056,751,6477
2013-01-04 13:00:00,6539,3149,3077,6174,762,6604
2013-01-04 14:00:00,6655,3192,3148,6329,777,6700
2013-01-04 15:00:00,6809,3258,3256,6543,799,6863
2013-01-04 16:00:00,7112,3373,3447,6856,831,7228
2013-01-04 17:00:00,7437,3374,3461,7172,809,7446
2013-01-04 18:00:00,7768,3486,3650,7477,835,7855
2013-01-04 19:00:00,7699,3474,3638,7426,830,7854
2013-01-04 20:00:00,7421,3392,3506,7126,809,7604
2013-01-04 21:00:00,7266,3344,3428,6918,797,7444
2013-01-04 22:00:00,7047,3279,3325,6685,782,7221
2013-01-04 23:00:00,6679,3164,3140,6275,756,6823
2013-01-05 00:00:00,6717,3171,3153,6315,762,6779
2013-01-05 01:00:00,6349,3059,2973,5999,735,6413
2013-01-05 02:00:00,6221,3025,2922,5930,727,6310
2013-01-05 03:00:00,6273,3043,2956,6018,733,6370
2013-01-05 04:00:00,6389,3082,3026,6159,744,6518
2013-01-05 05:00:00,6547,3135,3123,6380,758,6730
2013-01-05 06:00:00,6865,3231,3288,6642,781,7115
2013-01-05 07:00:00,7691,3449,3653,7124,842,7910
2013-01-05 08:00:00,8865,3742,4131,7827,930,8818
2013-01-05 09:00:00,9203,3837,4285,7965,954,9151
2013-01-05 10:00:00,9228,3845,4300,7933,955,9200
2013-01-05 11:00:00,9240,3842,4293,7919,956,9177
2013-01-05 12:00:00,9009,3785,4196,7766,937,9003
2013-01-05 13:00:00,9118,3813,4247,7844,947,9091
2013-01-05 14:00:00,9230,3849,4310,7956,956,9210
2013-01-05 15:00:00,9216,3852,4314,8033,956,9207
2013-01-05 16:00:00,9013,3818,4251,8012,937,9121
2013-01-05 17:00:00,8962,3827,4242,8182,927,9108
2013-01-05 18:00:00,9029,3857,4280,8340,929,9174
2013-01-05 19:00:00,8878,3810,4198,8218,917,9001
2013-01-05 20:00:00,8390,3675,3981,7719,880,8611
2013-01-05 21:00:00,7906,3542,3767,7249,844,8203
2013-01-05 22:00:00,7360,3378,3493,6816,804,7609
2013-01-05 23:00:00,6891,3229,3245,6383,770,7054
2013-01-06 00:00:00,6662,3158,3133,6213,757,6758
2013-01-06 01:00:00,6293,3048,2956,5892,730,6404
2013-01-06 02:00:00,6200,3023,2920,5849,725,6331
2013-01-06 03:00:00,6283,3054,2978,5955,733,6451
