utc_timestamp,BE,DE,FR,GB,LU
2015-01-01 00:00:00,11832,67584,71497,37413,1029
2015-01-01 01:00:00,11012,63455,68960,35938,966
2015-01-01 02:00:00,11116,62181,68156,35830,946
2015-01-01 03:00:00,11969,68852,76507,38912,1048
2015-01-01 04:00:00,12490,70360,77945,38271,1071
2015-01-01 05:00:00,13317,76219,86680,40529,1160
2015-01-01 06:00:00,14122,78658,91543,42106,1197
2015-01-01 07:00:00,13760,76704,88271,41097,1168
2015-01-01 08:00:00,13255,78740,83932,39752,1199
2015-01-01 09:00:00,12601,77946,78824,38930,1187
2015-01-01 10:00:00,12279,78288,75356,40064,1192
2015-01-01 11:00:00,12622,80986,73802,42298,1233
2015-01-01 12:00:00,13169,85434,76657,46384,1301
2015-01-01 13:00:00,13619,87883,76474,49562,1338
2015-01-01 14:00:00,13359,88409,75460,50505,1346
2015-01-01 15:00:00,13469,88830,75499,50069,1352
2015-01-01 16:00:00,14286,95421,81661,51638,1453
2015-01-01 17:00:00,15518,101997,91530,54594,1553
2015-01-01 18:00:00,15067,99938,89518,52916,1521
2015-01-01 19:00:00,14287,94158,85377,49133,1433
2015-01-01 20:00:00,13856,90283,82755,46777,1374
2015-01-01 21:00:00,13473,87178,79190,44101,1327
2015-01-01 22:00:00,13592,84535,79839,40379,1287
2015-01-01 23:00:00,12793,75915,72898,36257,1156
2015-01-02 00:00:00,12744,77673,71469,38373,1182
2015-01-02 01:00:00,11896,73247,68914,36682,1115
2015-01-02 02:00:00,11345,71218,67080,35516,1084
2015-01-02 03:00:00,12119,76866,73030,37648,1170
2015-01-02 04:00:00,12123,78441,73921,37646,1194
2015-01-02 05:00:00,13027,84924,81337,40965,1293
2015-01-02 06:00:00,13626,89258,85478,43626,1359
2015-01-02 07:00:00,13188,89992,83402,44976,1370
2015-01-02 08:00:00,13451,91449,80881,46728,1392
2015-01-02 09:00:00,13464,92665,78662,47964,1411
2015-01-02 10:00:00,13465,93044,76483,49000,1416
2015-01-02 11:00:00,13542,94213,75546,48956,1434
2015-01-02 12:00:00,14305,100325,79711,53217,1527
2015-01-02 13:00:00,14429,101124,78630,54892,1539
2015-01-02 14:00:00,14237,100862,77287,55669,1535
2015-01-02 15:00:00,14151,101742,77653,57429,1549
2015-01-02 16:00:00,16182,114073,87684,67217,1737
2015-01-02 17:00:00,19074,130508,105495,79180,1987
2015-01-02 18:00:00,20371,138908,112232,83763,2115
2015-01-02 19:00:00,18693,126947,103667,78459,1933
2015-01-02 20:00:00,16937,115572,94248,71364,1759
2015-01-02 21:00:00,15621,109101,87720,65078,1661
2015-01-02 22:00:00,15475,104060,87390,59722,1584
2015-01-02 23:00:00,14696,94436,80746,52620,1438
2015-01-03 00:00:00,12765,80721,69451,43085,1229
2015-01-03 01:00:00,11801,76059,66783,40603,1158
2015-01-03 02:00:00,11236,73536,64506,39344,1119
2015-01-03 03:00:00,11985,78354,69484,41611,1193
2015-01-03 04:00:00,12191,79535,70059,40930,1211
2015-01-03 05:00:00,12538,81295,72440,40943,1237
2015-01-03 06:00:00,12944,82190,74019,41418,1251
2015-01-03 07:00:00,13234,86070,75888,40791,1310
2015-01-03 08:00:00,13715,89358,75767,41310,1360
2015-01-03 09:00:00,14270,93495,76587,44638,1423
2015-01-03 10:00:00,14889,96217,76069,48013,1465
2015-01-03 11:00:00,15148,97780,74539,53874,1489
2015-01-03 12:00:00,15846,103278,77794,58009,1572
2015-01-03 13:00:00,15671,102169,74111,57992,1555
2015-01-03 14:00:00,15412,99790,71472,57385,1519
2015-01-03 15:00:00,15472,98816,70464,57697,1504
2015-01-03 16:00:00,16772,109743,76156,60329,1671
2015-01-03 17:00:00,19157,127905,89965,74499,1947
2015-01-03 18:00:00,20831,139434,99456,85523,2123
2015-01-03 19:00:00,19363,128548,92662,79179,1957
2015-01-03 20:00:00,17649,113457,82955,69804,1727
2015-01-03 21:00:00,16475,104979,77125,63678,1598
2015-01-03 22:00:00,15860,99113,76785,57927,1509
2015-01-03 23:00:00,14726,92138,72323,51117,1403
2015-01-04 00:00:00,12769,79886,62207,41574,1216
2015-01-04 01:00:00,11872,75075,59748,39266,1143
2015-01-04 02:00:00,11353,72819,57346,38022,1108
2015-01-04 03:00:00,12191,77809,60879,41682,1184
2015-01-04 04:00:00,12352,78676,61109,41567,1198
2015-01-04 05:00:00,12643,79621,63273,42097,1212
2015-01-04 06:00:00,12958,79014,64979,42355,1203
2015-01-04 07:00:00,13294,81542,67255,43887,1241
2015-01-04 08:00:00,13489,83558,67639,44544,1272
2015-01-04 09:00:00,13813,87267,69129,46656,1328
2015-01-04 10:00:00,13730,89802,69300,49170,1367
2015-01-04 11:00:00,13823,92153,68905,50327,1403
2015-01-04 12:00:00,14746,97068,73033,54691,1478
2015-01-04 13:00:00,14322,94971,69395,55004,1446
2015-01-04 14:00:00,14073,93413,67290,54868,1422
2015-01-04 15:00:00,14102,90922,67735,56108,1384
2015-01-04 16:00:00,15894,103264,76650,64276,1572
2015-01-04 17:00:00,19106,124458,94181,78261,1895
2015-01-04 18:00:00,21287,137575,106455,87637,2095
2015-01-04 19:00:00,20230,127960,101287,80502,1948
2015-01-04 20:00:00,18361,114261,92058,70797,1740
2015-01-04 21:00:00,17196,106677,86081,64183,1624
2015-01-04 22:00:00,16508,101357,84943,57552,1543
2015-01-04 23:00:00,15217,91148,78145,49901,1388
2015-01-05 00:00:00,13059,77413,66984,39556,1178
2015-01-05 01:00:00,12308,72844,64704,37292,1109
2015-01-05 02:00:00,11913,71274,63145,36267,1085
2015-01-05 03:00:00,13057,78113,69500,38900,1189
2015-01-05 04:00:00,13330,80782,71588,42616,1230
2015-01-05 05:00:00,14825,90572,81723,45235,1379
2015-01-05 06:00:00,16599,100176,91521,47455,1525
2015-01-05 07:00:00,17108,104172,92891,50251,1586
2015-01-05 08:00:00,17020,105395,90271,54534,1605
2015-01-05 09:00:00,16509,103095,86262,54557,1569
2015-01-05 10:00:00,15912,101620,82845,54055,1547
2015-01-05 11:00:00,15615,103789,81138,53713,1580
2015-01-05 12:00:00,16114,107019,84403,57924,1629
2015-01-05 13:00:00,16474,108373,84585,59589,1650
2015-01-05 14:00:00,16557,108275,83124,59837,1648
2015-01-05 15:00:00,16729,109491,83234,60602,1667
2015-01-05 16:00:00,18466,122746,93695,68234,1869
2015-01-05 17:00:00,21687,144533,113461,82314,2201
2015-01-05 18:00:00,22728,152322,121303,88472,2319
2015-01-05 19:00:00,20855,139964,111388,81134,2131
2015-01-05 20:00:00,18979,125027,101021,72683,1903
2015-01-05 21:00:00,17558,115701,93570,65869,1761
2015-01-05 22:00:00,17233,109557,93013,59447,1668
2015-01-05 23:00:00,16043,97718,85339,51229,1488
2015-01-06 00:00:00,13983,83565,73342,40420,1272
2015-01-06 01:00:00,13247,78578,70756,38084,1196
2015-01-06 02:00:00,12872,76785,69259,37115,1169
2015-01-06 03:00:00,14133,84250,76267,41265,1283
2015-01-06 04:00:00,14488,86440,78308,40873,1316
2015-01-06 05:00:00,16103,95090,88797,43547,1448
2015-01-06 06:00:00,17875,103256,98680,44502,1572
2015-01-06 07:00:00,18142,105686,99224,47662,1609
2015-01-06 08:00:00,17957,105270,95850,52272,1603
2015-01-06 09:00:00,17207,102256,90766,52758,1557
2015-01-06 10:00:00,16560,100603,86968,52355,1532
2015-01-06 11:00:00,16224,100513,85291,52041,1530
2015-01-06 12:00:00,16720,105877,88210,56234,1612
2015-01-06 13:00:00,17149,106594,88348,57997,1623
2015-01-06 14:00:00,17303,106163,87082,58627,1616
2015-01-06 15:00:00,17547,108155,87042,60016,1647
2015-01-06 16:00:00,19300,122441,96801,69305,1864
2015-01-06 17:00:00,22230,144982,114538,81077,2207
2015-01-06 18:00:00,22942,152341,120846,88983,2319
2015-01-06 19:00:00,20723,139990,110168,82098,2131
2015-01-06 20:00:00,18653,125425,99118,73836,1910
2015-01-06 21:00:00,17104,115877,91306,67055,1764
2015-01-06 22:00:00,16724,109168,90269,60583,1662
2015-01-06 23:00:00,15714,97595,83206,52023,1486
2015-01-07 00:00:00,12668,75266,66555,35729,1146
2015-01-07 01:00:00,11813,69923,64065,33321,1064
2015-01-07 02:00:00,11573,69621,63011,34338,1060
2015-01-07 03:00:00,12710,77932,69716,39571,1186
2015-01-07 04:00:00,13050,80980,72439,41424,1233
2015-01-07 05:00:00,14597,91297,82885,44364,1390
2015-01-07 06:00:00,16359,104193,93453,47330,1586
2015-01-07 07:00:00,17014,109882,95866,50714,1673
2015-01-07 08:00:00,16944,110511,93014,55405,1682
2015-01-07 09:00:00,16291,107689,88089,59131,1639
2015-01-07 10:00:00,15758,106745,84420,57807,1625
2015-01-07 11:00:00,15720,107176,82959,57154,1632
2015-01-07 12:00:00,15913,109872,84071,59390,1673
2015-01-07 13:00:00,16285,112308,84392,61712,1710
2015-01-07 14:00:00,16438,112693,83427,62164,1716
2015-01-07 15:00:00,16510,112265,82573,61715,1709
2015-01-07 16:00:00,17344,116943,87033,63719,1780
2015-01-07 17:00:00,18680,123987,95160,68431,1888
2015-01-07 18:00:00,18077,119137,93868,66171,1814
2015-01-07 19:00:00,16809,112324,87503,61888,1710
2015-01-07 20:00:00,16103,106108,82239,58713,1615
2015-01-07 21:00:00,15223,100588,77838,54705,1531
2015-01-07 22:00:00,14931,95378,77690,49288,1452
2015-01-07 23:00:00,14363,84333,71486,42671,1284
2015-01-08 00:00:00,13117,77396,65060,37530,1178
2015-01-08 01:00:00,12279,72084,62175,35042,1097
2015-01-08 02:00:00,11956,73658,60869,34983,1121
2015-01-08 03:00:00,12911,82682,66088,38327,1259
